Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P11047|LAMC1_HUMAN	sp|P11047|LAMC1_HUMAN	1	1	1	sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	1	1	1	1	1.1	1.1	1.1	177.6	1609	1609	0.0009542	7.334	4098.3	3777.6	4299	5759.1	3892.5	2174	1157.6	8976.5	2610.3	4837.8	5881.6	2774.8	4404.1	2829.7	2465	3779.5	3551.1	4327.9	5669.6	3990.2	2576.3	1353.3	8663.1	2698.1	5014.5	5798.3	2896.6	4444.1	2703.3	2392.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14696000	1				318	1540	True	1593	2641	3463	3463		
sp|P11137|MTAP2_HUMAN	sp|P11137|MTAP2_HUMAN	1	1	1	sp|P11137|MTAP2_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4	1	1	1	1	0.8	0.8	0.8	199.52	1827	1827	0.00099602	7.7889	7796.4	10111	9773.5	8486.4	8427.3	4254.3	2852.5	11116	7037.4	11305	11348	8281.1	7449.2	8667.5	4183	7201	9410.5	9709.7	8709.4	8678.3	4720.1	3284.2	11005	7091.5	11399	11237	8546.8	7563.4	8275.3	4060.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5540800	1				319	3829	True	3956	6285	8285	8285		
sp|P11142|HSP7C_HUMAN	sp|P11142|HSP7C_HUMAN	28	28	16	sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	1	28	28	16	52.9	52.9	36.7	70.897	646	646	0	323.31	1771300	1832200	1507800	2025500	1577600	470980	354610	2537000	1074000	1511800	1856300	1345200	1503100	1297600	527830	1631100	1709000	1547800	2023700	1597700	620360	442480	2447200	1086200	1577900	1842700	1374100	1497600	1240600	521910	60	60	60	60	60	59	60	60	60	60	60	60	60	60	60	7937100000	61				320	721;984;1747;2314;3047;3308;3511;3512;3779;4672;4847;5321;5422;5515;5517;5814;5816;5847;5890;6382;6484;6845;6924;7199;7323;8005;8073;8613	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	743;1013;1805;2396;3150;3420;3421;3627;3628;3902;4830;5012;5502;5617;5733;5735;6053;6055;6056;6087;6088;6135;6646;6753;7121;7122;7203;7497;7622;8330;8399;8962	1164;1571;1572;2922;2923;3862;3863;4993;4994;5429;5430;5787;5788;5789;6201;7612;7613;7889;8682;8683;8842;9028;9030;9031;9032;9558;9560;9561;9562;9563;9564;9565;9566;9606;9607;9608;9609;9710;10554;10555;10711;11229;11230;11231;11355;11356;11836;12001;13140;13141;13243;13244;14136	1525;2061;2062;3790;3791;5004;5005;6429;6430;7062;7063;7616;7617;7618;7619;7620;7621;8186;10166;10167;10516;10517;11559;11560;11746;11984;11986;11987;11988;11989;11990;12696;12698;12699;12700;12701;12702;12703;12704;12705;12751;12752;12753;12754;12895;14012;14013;14191;14838;14839;14840;14841;14994;14995;15628;15821;17202;17203;17343;17344;18607	1525;2061;3791;5005;6430;7063;7617;7621;8186;10167;10516;11560;11746;11984;11988;12696;12700;12753;12895;14012;14191;14840;14994;15628;15821;17202;17344;18607	127;128;129;130	61;93;122;549
sp|P11166|GTR1_HUMAN	sp|P11166|GTR1_HUMAN	1	1	1	sp|P11166|GTR1_HUMAN Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2	1	1	1	1	2	2	2	54.083	492	492	0.0082919	6.059	12840	28114	32640	11045	23921	3547.8	1542.3	13859	28427	27987	13147	25999	10408	10107	3818.2	11974	25956	31273	12385	24823	4347.7	3501	14138	27066	27776	13903	25833	10398	9931.7	3767.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39830000	1				321	7607	True	7913	12477	16404	16404		
sp|P11216|PYGB_HUMAN;sp|P11217|PYGM_HUMAN	sp|P11216|PYGB_HUMAN;sp|P11217|PYGM_HUMAN	2;1	2;1	1;0	sp|P11216|PYGB_HUMAN Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5;sp|P11217|PYGM_HUMAN Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6	2	2	2	1	2.5	2.5	1.1	96.695	843	843;842	0	11.975	18468	21069	25648	20615	23822	5356.1	4146.1	21332	21664	25544	22375	16543	14322	15388	7533.6	17075	19620	25330	20782	24288	6747	5710.2	21116	21168	25480	22464	17079	14540	14725	7328.6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	25231000	2				322	8202;8505	True;True	8531;8847	13445;13936	17661;18336	17661;18336		
sp|P11233|RALA_HUMAN	sp|P11233|RALA_HUMAN	1	1	1	sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1	1	1	1	1	6.8	6.8	6.8	23.567	206	206	0.0081169	5.9829	12128	14591	10676	13686	11104	4690.8	4666	18879	7542.6	9966	15106	9388.4	11153	9031	5839.1	11170	13587	10929	13872	11297	5635.9	5113.8	18225	7800.6	10516	14922	9571.8	11243	8634.8	5680.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50194000	1				323	233	True	238	369	454	454		
sp|P11387|TOP1_HUMAN;sp|Q969P6|TOP1M_HUMAN	sp|P11387|TOP1_HUMAN	12;1	12;1	12;1	sp|P11387|TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2	2	12	12	12	15.4	15.4	15.4	90.725	765	765;601	0	76.557	268990	417940	243490	301440	175000	84418	79428	499000	151960	204780	251970	252140	233920	146650	85748	247790	387740	247650	312240	183960	109120	87058	477470	155230	222610	251340	250900	232040	141920	84600	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	415670000	12				324	189;1036;2942;4489;4549;4927;5431;5638;6105;7095;8091;9128	True;True;True;True;True;True;True;True;True;True;True;True	193;1067;3042;4641;4706;5095;5626;5863;6359;7385;8417;9492	305;1655;4826;7330;7438;8013;8854;9229;10091;11695;13264;14939	380;2156;6218;9766;9939;10668;11759;12234;13396;15461;17366;19648	380;2156;6218;9766;9939;10668;11759;12234;13396;15461;17366;19648	131	644
sp|P11388|TOP2A_HUMAN	sp|P11388|TOP2A_HUMAN	8	8	6	sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3	1	8	8	6	5.3	5.3	4.3	174.38	1531	1531	0	54.886	143770	147070	94967	184880	124010	38144	26760	271350	68199	94131	161550	91789	144700	85099	44448	132200	137460	100440	183160	123830	53269	33293	258610	70918	103250	159720	93404	143300	81422	44254	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	202310000	8				325	1817;2795;3506;3816;4426;6927;7220;9005	True;True;True;True;True;True;True;True	1880;2892;3621;3942;4575;7206;7519;9362	3035;4633;5781;6268;7233;11360;11861;14712	3973;5984;7609;8268;9638;14999;15655;19316	3973;5984;7609;8268;9638;14999;15655;19316		
sp|P11413|G6PD_HUMAN	sp|P11413|G6PD_HUMAN	15	15	15	sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4	1	15	15	15	29.9	29.9	29.9	59.256	515	515	0	134.95	480010	537880	558220	495540	500580	128820	82264	638210	426910	527510	551050	409620	393140	397220	127240	443060	500460	557470	501980	511940	165430	114890	621430	421310	537610	549790	420470	393350	379760	126360	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	1328700000	18				326	1213;2764;2940;3372;3530;4161;4582;4742;5218;5868;6334;6576;8274;8605;8848	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1246;2861;3040;3486;3647;4303;4739;4903;5396;6109;6597;6846;8606;8954;9203	1978;4592;4823;5563;5825;6842;7477;7726;8537;9634;9635;10483;10834;13555;13556;14124;14482	2584;5939;6215;7305;7679;9128;9983;10311;11378;12783;12784;13922;14363;17804;17805;17806;18594;19048	2584;5939;6215;7305;7679;9128;9983;10311;11378;12783;13922;14363;17806;18594;19048		
sp|P11498|PYC_HUMAN	sp|P11498|PYC_HUMAN	7	7	7	sp|P11498|PYC_HUMAN Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2	1	7	7	7	8.3	8.3	8.3	129.63	1178	1178	0	47.966	102440	82362	101860	71708	68980	17471	10651	108660	81141	86508	97744	58254	63581	70638	20304	94429	76566	102670	72959	72482	23297	15842	105420	79468	88021	97550	60786	63884	67284	20180	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	135210000	7				327	785;2360;2824;7039;7964;8736;8746	True;True;True;True;True;True;True	806;2443;2921;7325;8285;9088;9098	1247;3939;4667;11572;13056;14318;14332	1629;5099;6025;15280;17093;18836;18860	1629;5099;6025;15280;17093;18836;18860		
sp|P11586|C1TC_HUMAN	sp|P11586|C1TC_HUMAN	4	4	4	sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3	1	4	4	4	4.9	4.9	4.9	101.56	935	935	0	26.254	57334	61586	63485	61032	39882	15590	13393	72269	43138	55377	58066	43688	41162	31235	21759	52896	57359	63430	61473	42399	19944	15740	70272	42907	56596	57885	44330	41585	30061	21161	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	54286000	5				328	2582;3436;7554;7559	True;True;True;True	2674;3550;7856;7861	4287;5650;12356;12357;12362	5555;7415;16248;16249;16254	5555;7415;16248;16254		
sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;sp|Q4VXU2|PAP1L_HUMAN	sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN	17;10;3	17;10;3	11;8;1	sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;sp|Q9H361|PABP3_HUMAN Polyadenylate-binding protein 3 OS=Homo sapiens OX=9606 GN=PABPC3 PE=1 SV=2	3	17	17	11	26.9	26.9	17.9	70.67	636	636;631;614	0	135.07	1039100	833250	472660	864410	809970	132090	92435	1034200	364900	444200	597350	500780	780360	958640	165570	954010	775990	528670	865780	796390	199720	138710	988380	370660	484340	602430	528930	760690	908000	168890	33	33	33	33	33	32	32	33	33	33	33	33	33	33	33	1803200000	34				329	421;458;901;925;1662;2347;2480;2688;3129;3802;3954;5597;5598;5686;7016;8522;9071	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	432;468;930;954;1718;2430;2569;2783;3232;3927;4086;5818;5819;5914;7299;8868;9435	634;635;693;1458;1490;2814;3916;3917;4120;4121;4442;5110;6241;6242;6505;6506;9157;9158;9341;11521;11522;13987;14853;14854;14855	785;786;787;871;1923;1964;3658;3659;5069;5070;5071;5327;5328;5753;6558;8229;8230;8231;8232;8612;8613;8614;8615;12139;12140;12426;15210;15211;18416;18417;18418;19541;19542;19543	787;871;1923;1964;3659;5069;5328;5753;6558;8231;8615;12139;12140;12426;15211;18417;19542	132	353
sp|P12004|PCNA_HUMAN	sp|P12004|PCNA_HUMAN	7	7	7	sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1	1	7	7	7	39.1	39.1	39.1	28.768	261	261	0	56.56	245160	203350	210970	258600	164400	39837	30008	323000	177530	213920	283980	155200	187610	157460	42816	225760	190010	215630	255670	170510	60735	41330	311260	176550	220180	281030	160100	187540	150420	43472	11	11	11	11	11	11	10	11	11	11	11	11	11	11	11	488110000	11				330	181;846;3315;5142;5275;6799;8623	True;True;True;True;True;True;True	185;869;3428;5318;5455;7073;8972	293;294;1341;5440;8376;8619;8620;11156;14149	367;368;369;1754;7076;11160;11161;11474;11475;14757;18624	369;1754;7076;11160;11475;14757;18624		
sp|P12236|ADT3_HUMAN;sp|P12235|ADT1_HUMAN	sp|P12236|ADT3_HUMAN;sp|P12235|ADT1_HUMAN	14;8	5;1	5;1	sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4;sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4	2	14	5	5	42.6	16.4	16.4	32.866	298	298;298	0	51.302	272920	212790	214610	248260	156060	38958	37553	315410	152680	190220	295670	165730	196940	202590	49074	251190	198540	221160	246750	163230	59125	47454	303300	154170	198550	291340	171290	196960	192930	49515	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	944400000	8				331	110;1058;2041;2612;2896;2897;2899;2910;4316;4834;6112;7527;7594;8934	True;True;False;False;True;True;False;False;False;False;False;False;True;False	111;1089;2118;2704;2994;2995;2997;2998;3010;4461;4999;6368;7828;7900;9289	159;160;1705;1706;3458;4333;4762;4763;4765;4766;4782;7068;7874;10133;10134;12307;12461;14607;14608	195;196;2225;2226;2227;4523;5621;5622;6135;6136;6138;6139;6167;9438;10497;10498;13470;13471;16188;16189;16386;19198;19199	196;2227;4523;5622;6135;6136;6138;6167;9438;10498;13471;16188;16386;19199	89	201
sp|P12270|TPR_HUMAN	sp|P12270|TPR_HUMAN	1	1	1	sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	1	1	1	1	0.4	0.4	0.4	267.29	2363	2363	0.0034305	6.2711	3347.3	5346.5	2405.4	3412.9	7806.3	402.29	407.46	3326.6	1257.3	2944.1	3432.4	2151.8	1509.6	3649.3	1211.2	3079.8	4950.1	2574.9	3565.6	7486	670.78	829.93	3233.3	1303.6	2997.1	3340.5	2283	1585.4	3461	1164.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2957800	1				332	100	True	101	146	182	182		
sp|P12277|KCRB_HUMAN	sp|P12277|KCRB_HUMAN	1	1	1	sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1	1	1	1	1	6	6	6	42.644	381	381	0.0010352	8.4605	2696.8	941.05	1418.6	2249.6	700.42	149.96	362.79	2503.1	1247.7	1332.7	2267	1511.6	1613.5	616.1	259.75	2477.2	891.84	1531.5	2158.7	774.98	337.96	407.8	2393	1258.9	1410	2239.7	1495.4	1602.1	604.04	271.85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6337600	1				333	7551	True	7853	12353	16245	16245		
sp|P12814|ACTN1_HUMAN;sp|P35609|ACTN2_HUMAN	sp|P12814|ACTN1_HUMAN	17;2	9;1	9;1	sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	2	17	9	9	22.6	13.9	13.9	103.06	892	892;894	0	76.46	268580	134380	106360	228020	169490	56693	32402	521600	74498	136750	405660	91742	132680	115140	54315	246480	126460	121690	222830	167640	79194	41233	494400	82736	153530	390050	96179	140220	109610	53398	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	479510000	14				334	236;452;759;837;2132;3117;3379;3907;4388;4439;5129;5284;5941;6130;6461;7715;8310	False;False;False;True;True;False;True;True;False;False;True;True;True;True;True;False;False	241;462;780;859;2211;3219;3493;4035;4534;4589;5304;5465;6189;6386;6728;8024;8642	372;680;1209;1328;3592;5088;5089;5090;5572;5573;6419;6420;7165;7250;8361;8632;9798;10159;10160;10677;12659;12660;13608;13609	457;856;1577;1740;4695;6535;6536;6537;7317;7318;7319;8479;8480;9558;9657;11143;11488;11489;13015;13500;13501;14151;16613;16614;17869;17870;17871	457;856;1577;1740;4695;6535;7318;8480;9558;9657;11143;11488;13015;13501;14151;16613;17870		
sp|P12956|XRCC6_HUMAN	sp|P12956|XRCC6_HUMAN	6	6	6	sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	1	6	6	6	13	13	13	69.842	609	609	0	45.414	53558	52390	42608	62260	49018	13415	10252	73808	31124	45200	56900	34413	44397	49269	13496	49298	48921	44079	61889	49308	18032	12974	71224	31563	46951	56349	36068	44202	46819	13447	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	85040000	6				335	1957;3568;3626;4630;7578;7627	True;True;True;True;True;True	2028;3685;3744;4787;7880;7933	3299;5878;5957;7559;12391;12501	4317;7747;7843;10102;16285;16429	4317;7747;7843;10102;16285;16429		
sp|P13010|XRCC5_HUMAN	sp|P13010|XRCC5_HUMAN	8	8	8	sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	1	8	8	8	11.1	11.1	11.1	82.704	732	732	0	53.314	245770	189230	202380	305600	140930	53383	43604	379310	148840	183350	281090	154290	227290	135330	63181	226260	177710	207550	298540	148260	77327	52087	363430	150970	193770	278370	157380	225690	129640	63281	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	239210000	9				336	271;596;1596;1684;2799;4601;7203;8956	True;True;True;True;True;True;True;True	275;615;1651;1741;2896;4758;7501;9312	420;968;2729;2840;4638;7510;11841;14638	510;1270;3561;3687;5989;10040;15633;15634;19231	510;1270;3561;3687;5989;10040;15633;19231		
sp|P13073|COX41_HUMAN	sp|P13073|COX41_HUMAN	3	3	3	sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1	1	3	3	3	19.5	19.5	19.5	19.576	169	169	0	20.663	32425	28351	34224	32602	29719	6923.2	5248.7	38559	24098	28900	35769	24616	25549	26433	7629.2	29905	26458	34413	32472	30492	9353.2	7130	37399	23971	29724	35536	25295	25530	25225	7610.1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	53599000	3				337	1101;6781;8538	True;True;True	1134;7055;8886	1813;11133;14025	2386;14732;18480	2386;14732;18480		
sp|P13639|EF2_HUMAN	sp|P13639|EF2_HUMAN	8	8	7	sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	1	8	8	7	10.7	10.7	9.6	95.337	858	858	0	56.547	188980	172350	157100	191760	135070	42002	26098	216640	125050	165980	193680	123970	133000	130960	43563	173990	160760	161260	191430	138870	55941	34885	210410	124500	169660	192050	127940	133320	125010	43235	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	352510000	8				338	509;946;1681;2732;3089;6759;8528;8928	True;True;True;True;True;True;True;True	525;975;1738;2828;3191;7035;8874;9283	826;1517;2837;4530;5052;11107;13998;14597	1076;1995;3684;5855;6495;14706;18429;19187	1076;1995;3684;5855;6495;14706;18429;19187		
sp|P13667|PDIA4_HUMAN	sp|P13667|PDIA4_HUMAN	1	1	1	sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	1	1	1	1	1.6	1.6	1.6	72.932	645	645	0.00088183	6.6242	8487.8	9446.9	9026.4	8984.7	6764.5	4158.5	3902.8	8783	6560.9	8083	7510.3	6819.9	7603.3	5857.4	4143.4	7828.3	8806.1	9064.1	9118.2	7095.9	4598.9	4147	8710.2	6612.8	8218.5	7601.5	6944.3	7584.2	5613.3	4024.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10645000	1				339	7611	True	7917	12481	16408	16408	133	540
sp|P13987|CD59_HUMAN	sp|P13987|CD59_HUMAN	1	1	1	sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1	1	1	1	1	6.2	6.2	6.2	14.177	128	128	0.00088106	6.6128	31725	35950	21416	82833	28853	8418.9	6540	93713	26209	20710	35053	19489	59657	26593	21926	29176	34051	22603	79649	28769	15122	8293.4	88662	26453	24149	36003	20257	58244	25285	21621	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45667000	1				340	321	True	326	487	599	599		
sp|P14373|TRI27_HUMAN	sp|P14373|TRI27_HUMAN	3	3	3	sp|P14373|TRI27_HUMAN Zinc finger protein RFP OS=Homo sapiens OX=9606 GN=TRIM27 PE=1 SV=1	1	3	3	3	7	7	7	58.489	513	513	0	20.629	54218	62595	45459	68784	85305	13372	8464.3	87933	34120	45997	56238	42836	59906	49396	14784	49925	58364	47177	68692	83365	18763	13339	84433	34493	48604	56306	44051	58826	47082	14917	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	52171000	3				341	2045;2270;3216	True;True;True	2122;2352;3324	3462;3797;5273	4527;4917;6818	4527;4917;6818		
sp|P14406|CX7A2_HUMAN	sp|P14406|CX7A2_HUMAN	2	2	2	sp|P14406|CX7A2_HUMAN Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2 PE=1 SV=1	1	2	2	2	27.7	27.7	27.7	9.3959	83	83	0	13.868	47734	47398	51944	43749	40393	6196	4885.6	54059	43775	47610	56067	38120	38373	33144	8203.1	44033	44066	52045	44192	41809	9799.9	7917.1	52502	42964	48393	55883	38912	38273	31755	8370.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	221090000	2				342	2761;4574	True;True	2858;4731	4589;7467	5936;9969	5936;9969		
sp|P14618|KPYM_HUMAN;sp|P30613|KPYR_HUMAN	sp|P14618|KPYM_HUMAN	20;1	20;1	20;1	sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	2	20	20	20	41.8	41.8	41.8	57.936	531	531;574	0	268.42	759570	900630	1176100	798530	769660	220220	174920	903320	936080	1110900	911160	691060	575490	614820	246730	703100	837620	1150400	811580	811790	275280	229180	894750	912280	1105500	916570	713580	582090	588850	241850	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	2738800000	37				343	614;734;1275;1472;1473;2353;2631;2644;2993;2994;3084;3415;3781;3856;4012;4377;4441;5468;6485;7524	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	633;756;1313;1521;1522;2436;2724;2737;3095;3096;3186;3529;3904;3905;3983;4144;4523;4591;5671;5672;6754;7825	990;1179;2124;2125;2480;2481;3926;4356;4374;4907;4908;4909;5047;5623;6204;6205;6206;6327;6328;6329;6330;6582;7149;7150;7151;7253;8919;8920;10712;12303;12304	1297;1544;2790;2791;3239;3240;5083;5652;5677;6324;6325;6326;6490;7385;8189;8190;8191;8341;8342;8343;8344;8731;9539;9540;9541;9660;11841;11842;11843;14192;14193;16180;16181;16182;16183;16184;16185	1297;1544;2791;3239;3240;5083;5652;5677;6324;6326;6490;7385;8191;8342;8731;9540;9660;11843;14192;16181	134;135	149;377
sp|P14625|ENPL_HUMAN	sp|P14625|ENPL_HUMAN	2	1	1	sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	1	2	1	1	3.2	1.7	1.7	92.468	803	803	0.0034453	6.3021	5732.7	5041.3	5131.7	5037.8	4019.8	278.21	1091.3	7094.7	4023.1	4010.7	6035	4094.6	4157.1	2960.3	1026.2	5280.6	4689	5227	5049.1	4174.2	749.25	1336.9	6781	4012.4	4216.5	5988.7	4120.3	4150.9	2847.9	1036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9805100	1				344	1896;3098	False;True	1963;3200	3181;5064	4172;6508	4172;6508		
sp|P14649|MYL6B_HUMAN	sp|P14649|MYL6B_HUMAN	13	13	11	sp|P14649|MYL6B_HUMAN Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1	1	13	13	11	60.6	60.6	49	22.764	208	208	0	185.9	1410400	1434800	973500	1694800	1477200	421250	280350	2542100	622550	1266000	1802900	724240	972230	838140	614160	1297200	1340000	1026800	1687000	1461700	555860	355940	2439500	652660	1320700	1758300	760690	1000400	798960	594170	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	28264000000	36				345	222;491;1483;2955;3297;3625;4157;5949;6654;7734;7896;8174;8747	True;True;True;True;True;True;True;True;True;True;True;True;True	227;507;1533;3055;3409;3743;4299;6197;6926;8044;8215;8502;9099	351;352;353;797;798;799;800;801;802;803;2527;4845;4846;5413;5956;6838;9808;9809;10937;10938;12690;12937;12938;12939;13404;14333	429;430;431;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;3304;6238;6239;7032;7842;9124;13029;13030;14489;14490;16647;16952;16953;16954;16955;16956;16957;16958;16959;17589;18861	431;1048;3304;6239;7032;7842;9124;13030;14490;16647;16953;17589;18861		
sp|P14866|HNRPL_HUMAN	sp|P14866|HNRPL_HUMAN	5	5	5	sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2	1	5	5	5	12.6	12.6	12.6	64.132	589	589	0	64.35	109770	92158	80976	145740	75005	17551	20076	186850	64301	62939	68975	92994	107370	76869	22626	100990	86454	84212	142330	76796	29762	24346	177610	64187	70651	71007	93157	104240	73712	23087	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	335690000	7				346	3753;5565;6731;7299;9126	True;True;True;True;True	3876;5786;7002;7598;9490	6164;9115;9116;11045;11967;14937	8137;12094;12095;14630;15778;15779;19646	8137;12094;14630;15779;19646		
